riding,FEDNUM,riding_utf8
Mission – Matsqui – Fraser Canyon,59017,Mission – Matsqui – Fraser Canyon
Bruce – Grey – Owen Sound,35014,Bruce – Grey – Owen Sound
Sarnia – Lambton,35091,Sarnia – Lambton
Bow River,48003,Bow River
Mississauga – Malton,35062,Mississauga – Malton
Vaughan – Woodbridge,35111,Vaughan – Woodbridge
West Vancouver – Sunshine Coast – Sea to Sky Country,59042,West Vancouver – Sunshine Coast – Sea to Sky Country
Burnaby North – Seymour,59002,Burnaby North – Seymour
Saint-Léonard – Saint-Michel,24069,Saint-Léonard – Saint-Michel
Algoma – Manitoulin – Kapuskasing,35002,Algoma – Manitoulin – Kapuskasing
Long Range Mountains,10005,Long Range Mountains
Regina – Wascana,47009,Regina – Wascana
Haldimand – Norfolk,35033,Haldimand – Norfolk
Acadie – Bathurst,13001,Acadie – Bathurst
Elgin – Middlesex – London,35025,Elgin – Middlesex – London
Simcoe North,35100,Simcoe North
Windsor – Tecumseh,35116,Windsor – Tecumseh
King – Vaughan,35043,King – Vaughan
Pontiac,24057,Pontiac
Winnipeg Centre,46011,Winnipeg Centre
Kings – Hants,12007,Kings – Hants
Terrebonne,24075,Terrebonne
Calgary Signal Hill,48012,Calgary Signal Hill
Niagara Centre,35066,Niagara Centre
Québec,24059,Québec
Huron – Bruce,35040,Huron – Bruce
Peterborough – Kawartha,35084,Peterborough – Kawartha
Kootenay – Columbia,59015,Kootenay – Columbia
Cariboo – Prince George,59004,Cariboo – Prince George
Victoria,59041,Victoria
St. John's East,10006,St. John's East
Saskatoon – Grasswood,47010,Saskatoon – Grasswood
Winnipeg South,46013,Winnipeg South
Charlesbourg – Haute-Saint-Charles,24019,Charlesbourg – Haute-Saint-Charles
North Okanagan – Shuswap,59020,North Okanagan – Shuswap
Whitby,35114,Whitby
Markham – Thornhill,35055,Markham – Thornhill
Saint-Maurice – Champlain,24070,Saint-Maurice – Champlain
Bellechasse – Les Etchemins – Lévis,24010,Bellechasse – Les Etchemins – Lévis
Jonquière,24032,Jonquière
Edmonton Mill Woods,48017,Edmonton Mill Woods
Prince George – Peace River – Northern Rockies,59024,Prince George – Peace River – Northern Rockies
Carlton Trail – Eagle Creek,47004,Carlton Trail – Eagle Creek
Waterloo,35112,Waterloo
Don Valley North,35020,Don Valley North
Lakeland,48025,Lakeland
Cloverdale – Langley City,59007,Cloverdale – Langley City
Sherwood Park – Fort Saskatchewan,48032,Sherwood Park – Fort Saskatchewan
Kitchener – Conestoga,35046,Kitchener – Conestoga
Esquimalt – Saanich – Sooke,59026,Esquimalt – Saanich – Sooke
Niagara West,35068,Niagara West
Provencher,46008,Provencher
Dartmouth – Cole Harbour,12004,Dartmouth – Cole Harbour
Manicouagan,24046,Manicouagan
Yorkton – Melville,47014,Yorkton – Melville
Skeena – Bulkley Valley,59028,Skeena – Bulkley Valley
Calgary Rocky Ridge,48010,Calgary Rocky Ridge
Beauce,24007,Beauce
Niagara Falls,35067,Niagara Falls
LaSalle – Émard – Verdun,24037,LaSalle – Émard – Verdun
Sackville – Preston – Chezzetcook,12008,Sackville – Preston – Chezzetcook
Sudbury,35103,Sudbury
Beloeil – Chambly,24011,Beloeil – Chambly
Surrey Centre,59032,Surrey Centre
Laval-Les Îles,24040,Laval-Les Îles
Guelph,35032,Guelph
South Shore – St. Margaret's,12009,South Shore – St. Margaret's
Calgary Confederation,48005,Calgary Confederation
Edmonton Manning,48016,Edmonton Manning
Dorval – Lachine – LaSalle,24024,Dorval – Lachine – LaSalle
Courtenay – Alberni,59009,Courtenay – Alberni
Abitibi – Baie-James – Nunavik – Eeyou,24001,Abitibi – Baie-James – Nunavik – Eeyou
Chicoutimi – Le Fjord,24022,Chicoutimi – Le Fjord
Nanaimo – Ladysmith,59018,Nanaimo – Ladysmith
Moncton – Riverview – Dieppe,13007,Moncton – Riverview – Dieppe
Abbotsford,59001,Abbotsford
Durham,35023,Durham
Nunavut,62001,Nunavut
Berthier – Maskinongé,24012,Berthier – Maskinongé
Thunder Bay – Rainy River,35105,Thunder Bay – Rainy River
Avignon – La Mitis – Matane – Matapédia*,24006,Avignon – La Mitis – Matane – Matapédia*
Milton,35057,Milton
Oakville,35072,Oakville
Don Valley West,35021,Don Valley West
Trois-Rivières,24076,Trois-Rivières
Calgary Midnapore,48008,Calgary Midnapore
Halifax West,12006,Halifax West
Saint-Jean,24067,Saint-Jean
Louis-Saint-Laurent,24045,Louis-Saint-Laurent
Mississauga – Lakeshore,35061,Mississauga – Lakeshore
Mégantic – L'Érable,24047,Mégantic – L'Érable
Nipissing – Timiskaming,35070,Nipissing – Timiskaming
Hamilton Centre,35035,Hamilton Centre
Glengarry – Prescott – Russell,35031,Glengarry – Prescott – Russell
Foothills,48022,Foothills
Salaberry – Suroît,24071,Salaberry – Suroît
London North Centre,35052,London North Centre
Etobicoke – Lakeshore,35028,Etobicoke – Lakeshore
Rivière-des-Mille-Îles,24062,Rivière-des-Mille-Îles
Edmonton Griesbach,48015,Edmonton Griesbach
Brampton West,35012,Brampton West
Burlington,35015,Burlington
Scarborough – Guildwood,35095,Scarborough – Guildwood
Lambton – Kent – Middlesex,35048,Lambton – Kent – Middlesex
Toronto Centre,35108,Toronto Centre
Edmonton Riverbend,48018,Edmonton Riverbend
Outremont,24054,Outremont
York – Simcoe,35119,York – Simcoe
Thunder Bay – Superior North,35106,Thunder Bay – Superior North
Beauport – Côte-de-Beaupré – Île d'Orléans – Charlevoix,24020,Beauport – Côte-de-Beaupré – Île d'Orléans – Charlevoix
Sherbrooke,24073,Sherbrooke
Etobicoke North,35029,Etobicoke North
Rosemont – La Petite-Patrie,24064,Rosemont – La Petite-Patrie
La Prairie,24034,La Prairie
Bourassa,24015,Bourassa
Northwest Territories,61001,Northwest Territories
Cape Breton – Canso,12001,Cape Breton – Canso
Newmarket – Aurora,35065,Newmarket – Aurora
Drummond,24025,Drummond
Spadina – Fort York,35101,Spadina – Fort York
Toronto – St. Paul's,35090,Toronto – St. Paul's
Saint John – Rothesay,13009,Saint John – Rothesay
Hamilton West – Ancaster – Dundas,35038,Hamilton West – Ancaster – Dundas
Saskatoon West,47012,Saskatoon West
Wellington – Halton Hills,35113,Wellington – Halton Hills
Fundy Royal,13004,Fundy Royal
Regina – Lewvan,47007,Regina – Lewvan
St. Albert – Edmonton*,48031,St. Albert – Edmonton*
Gatineau,24027,Gatineau
North Vancouver,59021,North Vancouver
Regina – Qu'Appelle,47008,Regina – Qu'Appelle
Thornhill,35104,Thornhill
Lac-Saint-Louis,24036,Lac-Saint-Louis
Scarborough – Agincourt,35093,Scarborough – Agincourt
Kitchener Centre,35045,Kitchener Centre
Pitt Meadows – Maple Ridge,59022,Pitt Meadows – Maple Ridge
Argenteuil – La Petite-Nation,24005,Argenteuil – La Petite-Nation
Sydney – Victoria,12010,Sydney – Victoria
Ahuntsic – Cartierville,24003,Ahuntsic – Cartierville
Louis-Hébert,24044,Louis-Hébert
Saskatoon – University,47011,Saskatoon – University
Oxford,35080,Oxford
Battle River – Crowfoot,48002,Battle River – Crowfoot
Saanich – Gulf Islands,59027,Saanich – Gulf Islands
Edmonton West,48020,Edmonton West
Cypress Hills – Grasslands,47002,Cypress Hills – Grasslands
Pickering – Uxbridge,35085,Pickering – Uxbridge
Mont-Royal,24052,Mont-Royal
Cambridge,35016,Cambridge
Labrador,10004,Labrador
Dauphin – Swan River – Neepawa*,46004,Dauphin – Swan River – Neepawa*
Calgary Nose Hill,48009,Calgary Nose Hill
Vancouver East,59035,Vancouver East
Toronto – Danforth,35109,Toronto – Danforth
Brantford – Brant,35013,Brantford – Brant
Essex,35026,Essex
Desnethé – Missinippi – Churchill River,47003,Desnethé – Missinippi – Churchill River
Etobicoke Centre,35027,Etobicoke Centre
Scarborough North,35096,Scarborough North
St. Catharines,35089,St. Catharines
Châteauguay – Lacolle,24021,Châteauguay – Lacolle
Vancouver Granville,59036,Vancouver Granville
Scarborough Southwest,35098,Scarborough Southwest
Vancouver Quadra,59039,Vancouver Quadra
Peace River – Westlock,48028,Peace River – Westlock
Miramichi – Grand Lake,13006,Miramichi – Grand Lake
Cardigan,11001,Cardigan
Cumberland – Colchester,12003,Cumberland – Colchester
Fort McMurray – Cold Lake,48023,Fort McMurray – Cold Lake
Brampton North,35010,Brampton North
Eglinton – Lawrence,35024,Eglinton – Lawrence
Northumberland – Peterborough South,35071,Northumberland – Peterborough South
West Nova,12011,West Nova
Pierre-Boucher – Les Patriotes – Verchères,24014,Pierre-Boucher – Les Patriotes – Verchères
Renfrew – Nipissing – Pembroke,35086,Renfrew – Nipissing – Pembroke
Coquitlam – Port Coquitlam,59008,Coquitlam – Port Coquitlam
Winnipeg South Centre,46014,Winnipeg South Centre
Langley – Aldergrove,59016,Langley – Aldergrove
Portneuf – Jacques Cartier,24058,Portneuf – Jacques Cartier
Honoré-Mercier,24029,Honoré-Mercier
Alfred-Pellan,24004,Alfred-Pellan
Red Deer – Mountain View,48029,Red Deer – Mountain View
Saint Boniface – Saint Vital,46009,Saint Boniface – Saint Vital
Humber River – Black Creek,35121,Humber River – Black Creek
Scarborough Centre,35094,Scarborough Centre
North Island – Powell River,59037,North Island – Powell River
Charleswood – St. James – Assiniboia – Headingley,46002,Charleswood – St. James – Assiniboia – Headingley
Surrey – Newton,59033,Surrey – Newton
Montcalm,24050,Montcalm
Mississauga – Erin Mills,35060,Mississauga – Erin Mills
Elmwood – Transcona,46005,Elmwood – Transcona
Rivière-du-Nord,24063,Rivière-du-Nord
Brampton Centre,35008,Brampton Centre
Laurentides – Labelle,24038,Laurentides – Labelle
Gaspésie – Les Îles-de-la-Madeleine,24026,Gaspésie – Les Îles-de-la-Madeleine
Portage – Lisgar,46007,Portage – Lisgar
Rimouski-Neigette – Témiscouata – Les Basques,24018,Rimouski-Neigette – Témiscouata – Les Basques
Pierrefonds – Dollard,24056,Pierrefonds – Dollard
Cowichan – Malahat – Langford,59010,Cowichan – Malahat – Langford
Calgary Skyview,48013,Calgary Skyview
Sault Ste. Marie,35092,Sault Ste. Marie
Ajax,35001,Ajax
Beauport – Limoilou,24008,Beauport – Limoilou
Avalon,10001,Avalon
Carleton,35088,Carleton
Bay of Quinte,35006,Bay of Quinte
Delta,59011,Delta
Nepean,35064,Nepean
Yellowhead,48034,Yellowhead
Battlefords – Lloydminster,47001,Battlefords – Lloydminster
Madawaska – Restigouche,13005,Madawaska – Restigouche
Markham – Stouffville,35054,Markham – Stouffville
Kitchener South – Hespeler,35047,Kitchener South – Hespeler
Burnaby South,59003,Burnaby South
Banff – Airdrie,48001,Banff – Airdrie
Brampton South,35011,Brampton South
Thérèse-De Blainville,24013,Thérèse-De Blainville
Laurier – Sainte-Marie,24039,Laurier – Sainte-Marie
Marc-Aurèle-Fortin,24065,Marc-Aurèle-Fortin
Kingston and the Islands,35044,Kingston and the Islands
Mississauga Centre,35058,Mississauga Centre
Brampton East,35009,Brampton East
Medicine Hat – Cardston – Warner,48027,Medicine Hat – Cardston – Warner
Lévis – Lotbinière,24042,Lévis – Lotbinière
Compton – Stanstead,24023,Compton – Stanstead
Barrie – Springwater – Oro-Medonte,35005,Barrie – Springwater – Oro-Medonte
Parry Sound – Muskoka,35082,Parry Sound – Muskoka
Coast of Bays – Central – Notre Dame,10003,Coast of Bays – Central – Notre Dame
Ottawa West – Nepean,35079,Ottawa West – Nepean
St. John's South – Mount Pearl,10007,St. John's South – Mount Pearl
Ottawa South,35077,Ottawa South
Davenport,35018,Davenport
Brome – Missisquoi,24016,Brome – Missisquoi
Selkirk – Interlake – Eastman,46010,Selkirk – Interlake – Eastman
Hull – Aylmer,24030,Hull – Aylmer
Grande Prairie – Mackenzie,48024,Grande Prairie – Mackenzie
Mirabel,24048,Mirabel
Calgary Centre,48004,Calgary Centre
Calgary Forest Lawn,48006,Calgary Forest Lawn
Brossard – Saint-Lambert,24017,Brossard – Saint-Lambert
Stormont – Dundas – South Glengarry,35102,Stormont – Dundas – South Glengarry
London – Fanshawe,35051,London – Fanshawe
Aurora – Oak Ridges – Richmond Hill,35003,Aurora – Oak Ridges – Richmond Hill
Lac-Saint-Jean,24035,Lac-Saint-Jean
Prince Albert,47006,Prince Albert
Red Deer – Lacombe,48030,Red Deer – Lacombe
Longueuil – Charles-LeMoyne,24041,Longueuil – Charles-LeMoyne
Winnipeg North,46012,Winnipeg North
Malpeque,11004,Malpeque
South Okanagan – West Kootenay,59029,South Okanagan – West Kootenay
Parkdale – High Park,35081,Parkdale – High Park
Simcoe – Grey,35099,Simcoe – Grey
Hochelaga,24028,Hochelaga
Perth – Wellington,35083,Perth – Wellington
Halifax,12005,Halifax
Markham – Unionville,35056,Markham – Unionville
Oakville North – Burlington,35073,Oakville North – Burlington
Abitibi – Témiscamingue,24002,Abitibi – Témiscamingue
Moose Jaw – Lake Centre – Lanigan,47005,Moose Jaw – Lake Centre – Lanigan
Churchill – Keewatinook Aski,46003,Churchill – Keewatinook Aski
La Pointe-de-l'Île,24033,La Pointe-de-l'Île
Willowdale,35115,Willowdale
Barrie – Innisfil,35004,Barrie – Innisfil
Steveston – Richmond East,59031,Steveston – Richmond East
Timmins – James Bay,35107,Timmins – James Bay
Central Okanagan – Similkameen – Nicola,59005,Central Okanagan – Similkameen – Nicola
Kildonan – St. Paul,46006,Kildonan – St. Paul
Bonavista – Burin – Trinity,10002,Bonavista – Burin – Trinity
Fredericton,13003,Fredericton
Richmond Hill,35087,Richmond Hill
University – Rosedale,35110,University – Rosedale
Hastings – Lennox and Addington,35039,Hastings – Lennox and Addington
Calgary Heritage,48007,Calgary Heritage
Don Valley East,35019,Don Valley East
Papineau,24055,Papineau
Bécancour – Nicolet – Saurel,24009,Bécancour – Nicolet – Saurel
Central Nova,12002,Central Nova
Charlottetown,11002,Charlottetown
Montarville,24049,Montarville
Saint-Hyacinthe – Bagot,24066,Saint-Hyacinthe – Bagot
Flamborough – Glanbrook,35030,Flamborough – Glanbrook
Edmonton Strathcona,48019,Edmonton Strathcona
Richmond – Arthabaska,24061,Richmond – Arthabaska
London West,35053,London West
Mississauga East – Cooksville,35059,Mississauga East – Cooksville
Scarborough – Rouge Park,35097,Scarborough – Rouge Park
Kamloops – Thompson – Cariboo,59013,Kamloops – Thompson – Cariboo
Notre-Dame-de-Grâce – Westmount,24053,Notre-Dame-de-Grâce – Westmount
Ville-Marie – Le Sud-Ouest – L'Île-des-Soeurs,24077,Ville-Marie – Le Sud-Ouest – L'Île-des-Soeurs
Ottawa Centre,35075,Ottawa Centre
Joliette,24031,Joliette
Lethbridge,48026,Lethbridge
Vimy,24078,Vimy
Leeds – Grenville – Thousand Islands and Rideau Lakes,35050,Leeds – Grenville – Thousand Islands and Rideau Lakes
Calgary Shepard,48011,Calgary Shepard
Chilliwack – Hope,59006,Chilliwack – Hope
Kanata – Carleton,35041,Kanata – Carleton
Souris – Moose Mountain,47013,Souris – Moose Mountain
York South – Weston,35120,York South – Weston
Vaudreuil – Soulanges,24074,Vaudreuil – Soulanges
Kelowna – Lake Country,59014,Kelowna – Lake Country
Nickel Belt,35069,Nickel Belt
Edmonton – Wetaskiwin,48021,Edmonton – Wetaskiwin
Ottawa – Vanier,35078,Ottawa – Vanier
Chatham-Kent – Leamington,35017,Chatham-Kent – Leamington
Edmonton Centre,48014,Edmonton Centre
Sturgeon River,48033,Sturgeon River
Vancouver Kingsway,59038,Vancouver Kingsway
Oshawa,35074,Oshawa
Mississauga – Streetsville,35063,Mississauga – Streetsville
Montmagny – L'Islet – Kamouraska – Rivière-du-Loup,24051,Montmagny – L'Islet – Kamouraska – Rivière-du-Loup
Kenora,35042,Kenora
Beauséjour,13002,Beauséjour
Egmont,11003,Egmont
Hamilton East – Stoney Creek,35036,Hamilton East – Stoney Creek
South Surrey – White Rock,59030,South Surrey – White Rock
New Westminster – Burnaby,59019,New Westminster – Burnaby
Tobique – Mactaquac,13010,Tobique – Mactaquac
York Centre,35118,York Centre
Vancouver South,59040,Vancouver South
Haliburton – Kawaratha Lakes – Brock,35034,Haliburton – Kawaratha Lakes – Brock
Repentigny,24060,Repentigny
Shefford,24072,Shefford
Longueuil – Saint-Hubert,24043,Longueuil – Saint-Hubert
Beaches – East York,35007,Beaches – East York
Dufferin – Caledon,35022,Dufferin – Caledon
Fleetwood – Port Kells,59012,Fleetwood – Port Kells
New Brunswick Southwest,13008,New Brunswick Southwest
Brandon – Souris,46001,Brandon – Souris
Vancouver Centre,59034,Vancouver Centre
Port Moody – Coquitlam,59023,Port Moody – Coquitlam
Windsor West,35117,Windsor West
Richmond Centre,59025,Richmond Centre
Saint-Laurent,24068,Saint-Laurent
Yukon,60001,Yukon
Hamilton Mountain,35037,Hamilton Mountain
Orléans,35076,Orléans
Lanark – Frontenac – Kingston,35049,Lanark – Frontenac – Kingston
